%time,field.data
1449190651815813385,272990
1449190651870030330,1034021
1449190652016838933,30349016
1449190652018324317,615120
1449190652019542348,461101
1449190652067291713,299931
1449190652116792418,344038
1449190652209150522,29037953
1449190652215299351,257969
1449190652268374253,422001
1449190652321981624,2004862
1449190652370939523,1015901
1449190652551860839,310898
1449190652552229042,442982
1449190652552249715,319958
1449190652565274278,232935
1449190652619110450,1250028
1449190652673770189,3377915
1449190652716013547,283956
1449190652769864525,838041
1449190652873354216,414133
1449190652874712768,382900
1449190652915320443,247956
1449190652965402785,263930
1449190653027364012,2205134
1449190653155462683,1027107
1449190653157084401,650882
1449190653166454042,382900
1449190653219049269,984907
1449190653273444729,1507044
1449190653454017100,269890
1449190653454180809,280142
1449190653456042780,646115
1449190653465937351,410795
1449190653520469701,995875
1449190653571158544,1232147
1449190653623347021,1990080
1449190653754112230,1543045
1449190653755108447,923156
1449190653766188083,250101
1449190653818918526,1019955
1449190653871049452,1564026
1449190653923030360,2022982
1449190654045816358,880956
1449190654050672562,1940965
1449190654065868347,429868
1449190654119983046,1266003
1449190654180102139,2421856
1449190654222964291,1929999
1449190654265889299,302792
1449190654324026576,1912117
1449190654418552000,554084
1449190654418577701,453949
1449190654465216868,4053
1449190654523481536,2070903
1449190654570141375,1121997
1449190654686471250,485182
1449190654688283491,1214981
1449190654715496443,313043
1449190654863224716,431061
1449190654865311853,641108
1449190654866165592,505924
1449190654916518918,291109
1449190655016339706,429153
1449190655018013662,437021
1449190655065445668,303984
1449190655132510896,1727104
1449190655196731628,8863926
1449190655215755554,303984
1449190655373666141,823021
1449190655376035713,612020
1449190655377062936,390053
1449190655416078781,323058
1449190655470569502,1409054
1449190655515568518,286103
1449190655616538056,640870
1449190655617370284,545979
1449190655665573338,297070
1449190655725497154,3282786
1449190655768975027,1013994
1449190655816441116,384092
1449190655865572221,319958
1449190655923188202,2542019
1449190655987740258,689983
1449190656034095034,1479864
1449190656066888029,340939
1449190656155920574,459910
1449190656166618025,251055
1449190656220962082,1016140
1449190656273517922,1592160
1449190656353692636,337124
1449190656366760778,280141
1449190656415404113,288009
1449190656514520338,1451970
1449190656530059470,436067
1449190656566679484,411034
1449190656615975972,469923
1449190656718084761,1132966
1449190656718099009,331163
1449190656766020740,228882
1449190656820486882,1506091
1449190656955129131,391960
1449190656955943760,185966
1449190656966458506,254870
1449190657036937576,790834
1449190657068403028,421047
1449190657115388887,290155
1449190657166376373,319958
1449190657356775953,413895
1449190657357732785,340939
1449190657358747165,447989
1449190657367025630,253916
1449190657419090892,1188040
1449190657469566023,1214981
1449190657546409582,262976
1449190657567218379,345945
1449190657660556220,324011
1449190657666009985,296116
1449190657745382921,998974
1449190657770200041,955105
1449190657815665878,284911
1449190657908608975,1147985
1449190657920626143,1103162
1449190658014959364,396013
1449190658016357866,267029
1449190658068686862,357151
1449190658122939288,2415896
1449190658255679645,2341985
1449190658256820009,426054
1449190658265989865,636100
1449190658319508682,1315117
1449190658434351217,1585007
1449190658435871522,575065
1449190658466940829,508070
1449190658516535401,292063
1449190658572850379,1076936
1449190658616825243,535964
1449190658667981181,576973
1449190658716381192,484944
1449190658801199514,479937
1449190658815633751,303983
1449190658870273936,1065970
1449190658921107770,530004
1449190659058391974,514031
1449190659058414882,436067
1449190659066868753,398159
1449190659115556227,292063
1449190659174246087,3299952
1449190659215909484,274897
1449190659268586569,319958
1449190659321522905,1940966
1449190659393184808,298023
1449190659415438752,288010
1449190659499151907,1229048
1449190659515907109,308037
1449190659565562023,278950
1449190659694777892,2352953
1449190659705208822,8687973
1449190659717723259,442982
1449190659766473031,311851
1449190659849617674,1571894
1449190659890297146,1062870
1449190659915383857,273943
1449190659970279940,1667023
1449190660018778282,1332998
1449190660066725438,341892
1449190660120527808,1312017
1449190660208696555,1620054
1449190660233290184,550032
1449190660272352691,725031
1449190660323469522,1067877
1449190660365264495,294924
1449190660474010544,300884
1449190660475485329,593901
1449190660516228298,525951
1449190660572341923,1593113
1449190660682809882,1591921
1449190660685448487,452041
1449190660715332174,266790
1449190660773611371,696897
1449190660821589255,1899004
1449190660871163713,2161979
1449190660956094058,452995
1449190660965467318,258923
1449190661023176608,3428936
1449190661074141464,3859997
1449190661115453699,274896
1449190661165786074,331878
1449190661224000455,1135111
1449190661274146215,956058
1449190661317027364,515938
1449190661374276252,1497984
1449190661415426742,287056
1449190661492561963,1343966
1449190661515809611,288963
1449190661568216830,1028061
1449190661675729117,518799
1449190661676714155,702142
1449190661716816723,298976
1449190661768541174,1054049
1449190661817260207,710964
1449190661866022837,445843
1449190661917167044,484943
1449190661966928956,468970
1449190662023252316,1085043
1449190662067853795,678062
1449190662151143426,860930
1449190662280947638,281811
1449190662283087016,751972
1449190662284513454,422954
1449190662315479960,268936
1449190662366406264,335932
1449190662466299398,50377131
1449190662466314484,241041
1449190662578628767,353813
1449190662578663967,232935
1449190662615460822,267029
1449190662671034087,1011848
1449190662734281792,293017
1449190662765224550,293017
1449190662820819046,972986
1449190662870582073,1040935
1449190662916409128,396014
1449190662971575916,1938104
1449190663120407125,1008034
1449190663122093093,605106
1449190663124283594,551939
1449190663166635622,321865
1449190663221812748,1322985
1449190663329922857,1009941
1449190663337274069,1981020
1449190663366445934,301838
1449190663421576404,1057148
1449190663470639063,867128
1449190663519337430,323057
1449190663567673461,365973
1449190663622765941,918150
1449190663670622582,1002073
1449190663716235922,715017
1449190663766871128,293970
1449190663895777173,436068
1449190663897974939,656844
1449190663916466678,226021
1449190663971188995,1308918
1449190664019911109,1232862
1449190664112460855,425100
1449190664115297252,255108
1449190664166091420,273943
1449190664219985420,1285076
1449190664270503572,1072883
1449190664372770190,1813173
1449190664434493165,970841
1449190664436344791,381946
1449190664465448743,267029
1449190664521139059,2204895
1449190664570687813,1228095
1449190664617399337,297069
1449190664666861489,528812
1449190664721096595,972987
1449190664766544829,403166
1449190664818919642,1281977
1449190664871173489,1389026
1449190664940836814,776052
1449190664965672368,307083
1449190665016243325,424147
1449190665154334058,355959
1449190665155735913,37245988
1449190665165650022,351905
1449190665220799769,910997
1449190665272780117,1317978
1449190665316504390,323057
1449190665366123826,306845
1449190665472592106,313997
1449190665482108679,590086
1449190665515638918,319958
1449190665565676841,316143
1449190665618939755,1043081
1449190665670044854,955105
1449190665719046612,826121
1449190665765455026,272989
1449190665828697699,1115799
1449190665872896334,1031876
1449190665994096098,304937
1449190666044819860,308991
1449190666045937600,317812
1449190666070266949,1060009
1449190666117239959,524044
1449190666165729083,314951
1449190666217580086,313997
1449190666270980168,1127958
1449190666320407960,452995
1449190666371168880,1068830
1449190666420443020,520944
1449190666466801146,292063
1449190666534872644,322104
1449190666565557830,316143
1449190666630073293,2273082
1449190666666655597,275850
1449190666720395387,931978
1449190666835927386,412941
1449190666837474790,384092
1449190666866447750,288963
1449190666921613698,1654148
1449190666973757757,1048088
1449190667026137598,2004862
1449190667074850492,446796
1449190667115939235,328064
1449190667172804563,1568078
1449190667222426791,1584053
1449190667269659888,607013
1449190667321910386,922204
1449190667384719485,1238107
1449190667419212137,1132011
1449190667499662307,493050
1449190667515845088,459910
1449190667565522073,285148
1449190667620161140,1261950
1449190667673732753,2187013
1449190667715973038,272989
1449190667769943585,1017809
1449190667815453000,283003
1449190667930466498,1125097
1449190667932646664,957012
1449190667965459492,309944
