%time,field.data
1449189064387119694,905037
1449189064433625326,485897
1449189064481594828,382900
1449189064596634314,234127
1449189064597116498,384092
1449189064630778316,200033
1449189064687006411,1397133
1449189064739063026,927926
1449189064789964748,373125
1449189064830694226,257969
1449189064908770351,1009941
1449189065016803071,613928
1449189065018329523,233889
1449189065030582202,154972
1449189065080641635,293017
1449189065131694773,293017
1449189065257569429,363827
1449189065258560896,890017
1449189065280462843,127077
1449189065338012334,1383781
1449189065382058156,334025
1449189065431262455,150204
1449189065480682143,179052
1449189065530984905,141859
1449189065638607499,452996
1449189065640055453,514030
1449189065681925039,252962
1449189065735472348,350952
1449189065780552657,296116
1449189065830452295,248909
1449189065885076836,2002001
1449189065965095387,241041
1449189065980307933,289917
1449189066030759039,849962
1449189066088870615,730992
1449189066159356945,236034
1449189066202390350,372886
1449189066231169426,350952
1449189066286705533,1003027
1449189066334848805,1422882
1449189066380468570,251055
1449189066430882239,65088
1449189066480591910,319958
1449189066534346226,1155138
1449189066581886346,344992
1449189066630477997,242949
1449189066696343911,485897
1449189066732795471,375032
1449189066790260595,2225876
1449189066833407141,371933
1449189066885153662,416040
1449189066938900996,1055956
1449189067145178203,1168013
1449189067148637070,273943
1449189067148817263,370026
1449189067149254198,282049
1449189067183268359,435114
1449189067230509845,315189
1449189067308966745,263929
1449189067361769545,294924
1449189067379685787,106097
1449189067430686962,182151
1449189067484975426,905037
1449189067536496500,716925
1449189067581127590,328064
1449189067637101186,906944
1449189067728125326,268936
1449189067731952069,355959
1449189067780661051,70095
1449189067832267331,370026
1449189068013935954,957012
1449189068016697197,466109
1449189068018195710,360966
1449189068030042186,67949
1449189068089101369,1583100
1449189068144321795,838995
1449189068188399186,861168
1449189068232973287,322103
1449189068287959604,905037
1449189068332262440,243902
1449189068389264660,577212
1449189068433150958,264883
1449189068495072797,1414061
1449189068532218303,511885
1449189068589818080,1504183
1449189068630599801,267029
1449189068737213067,408887
1449189068737228711,381947
1449189068855844350,798941
1449189068857029416,355005
1449189068881188074,349999
1449189068938469096,1576901
1449189068994418106,1391887
1449189069035561603,845909
1449189069084225889,738859
1449189069131939496,261068
1449189069180172163,270128
1449189069234302785,913859
1449189069280393840,235796
1449189069330695762,365972
1449189069384283300,1152039
1449189069430257578,154972
1449189069487433280,1231193
1449189069532700207,519037
1449189069688168280,218868
1449189069693356933,310897
1449189069693734915,283003
1449189069729893704,113964
1449189069780198422,168085
1449189069834443026,892878
1449189069994065547,375986
1449189069994680988,329018
1449189069997405357,433921
1449189070032919649,289917
1449189070081064035,283957
1449189070133869350,856876
1449189070202698210,993013
1449189070301454054,887871
1449189070301659108,282765
1449189070330491546,70095
1449189070390841115,355006
1449189070432328231,463962
1449189070493234855,931978
1449189070535261984,922919
1449189070582728633,453949
1449189070631351850,156879
1449189070708901931,875950
1449189070731054187,144005
1449189070785151006,877857
1449189070834437160,907898
1449189070885155897,430822
1449189070967211577,988007
1449189070984110371,623941
1449189071041213718,308990
1449189071081481407,256061
1449189071130057412,347853
1449189071196660292,468015
1449189071231396549,259161
1449189071280441330,269890
1449189071337889973,1059055
1449189071388452545,892163
1449189071437276906,2291918
1449189071484441280,919103
1449189071535215890,612020
1449189071598386207,250101
1449189071631709996,677109
1449189071680825180,325918
1449189071730406338,288010
1449189071857083064,379085
1449189071858080954,337124
1449189071881285291,327110
1449189071937089032,914097
1449189071985652747,1015186
1449189072036844449,1864910
1449189072091188507,3070116
1449189072131241641,291109
1449189072182446194,279903
1449189072235971433,909090
1449189072395783099,235796
1449189072397218753,310898
1449189072398602724,631094
1449189072430699535,283957
1449189072480679908,135899
1449189072535916258,2259970
